symbol,fiscalDateEnding,operatingCashflow,cashflowFromInvestment,cashflowFromFinancing,netIncome
AAPL,2023-09-30,110543000000,3705000000,-108488000000,96995000000
AAPL,2022-09-30,122151000000,-22354000000,-110749000000,99803000000
AAPL,2021-09-30,104038000000,-14545000000,-93353000000,94680000000
AAPL,2020-09-30,80674000000,-4289000000,-86820000000,57411000000
AAPL,2019-09-30,69391000000,45896000000,-90976000000,55256000000
MSFT,2023-06-30,87582000000,-22680000000,-43935000000,72361000000
MSFT,2022-06-30,89035000000,-30311000000,-58876000000,72738000000
MSFT,2021-06-30,76740000000,-27577000000,-48486000000,61271000000
MSFT,2020-06-30,60675000000,-12223000000,-46031000000,44281000000
MSFT,2019-06-30,52185000000,-15773000000,-36887000000,39240000000
GOOGL,2022-12-31,91495000000,-20298000000,-69757000000,59972000000
GOOGL,2021-12-31,91652000000,-35523000000,-61362000000,76033000000
GOOGL,2020-12-31,65124000000,-32773000000,-24408000000,40269000000
GOOGL,2019-12-31,54520000000,-29491000000,-23209000000,34343000000
GOOGL,2018-12-31,47971000000,-28504000000,-13179000000,30736000000
AMZN,2022-12-31,46752000000,-37601000000,9718000000,-2722000000
AMZN,2021-12-31,46327000000,-58154000000,6291000000,33364000000
AMZN,2020-12-31,66064000000,-59611000000,-1104000000,21331000000
AMZN,2019-12-31,38514000000,-24281000000,-10066000000,11588000000
AMZN,2018-12-31,30723000000,-12369000000,-7686000000,10073000000
META,2022-12-31,50475000000,-28970000000,-22136000000,23200000000
META,2021-12-31,57683000000,-7570000000,-50728000000,39370000000
META,2020-12-31,38747000000,-30059000000,-10292000000,29146000000
META,2019-12-31,36314000000,-19864000000,-7299000000,18485000000
META,2018-12-31,29274000000,-11603000000,-15572000000,22112000000
