symbol,date,totalAssets,totalCurrentAssets,cashAndCashEquivalents,shortTermInvestments,inventory,totalCurrentLiabilities,longTermDebt,retainedEarnings,commonStock
AAPL,2023-09-30,352583000000,143566000000,29965000000,31590000000,6331000000,145308000000,95281000000,-214000000,73812000000
AAPL,2022-09-24,352755000000,135405000000,23646000000,24658000000,4946000000,153982000000,98959000000,-3068000000,64849000000
AAPL,2021-09-25,351002000000,134836000000,34940000000,27699000000,6580000000,125481000000,109106000000,5562000000,57365000000
AAPL,2020-09-26,323888000000,143713000000,38016000000,52927000000,4061000000,105392000000,98667000000,14966000000,50779000000
AAPL,2019-09-28,338516000000,162819000000,48844000000,51713000000,4106000000,105718000000,91807000000,45898000000,45174000000
MSFT,2023-06-30,411976000000,184257000000,34704000000,76558000000,2500000000,104149000000,54718000000,118848000000,93718000000
MSFT,2022-06-30,364840000000,169684000000,13931000000,90826000000,3742000000,95082000000,58521000000,84281000000,86939000000
MSFT,2021-06-30,333779000000,184406000000,14224000000,116110000000,2636000000,88657000000,59703000000,57055000000,83111000000
MSFT,2020-06-30,301311000000,181915000000,13576000000,122951000000,1895000000,72310000000,67249000000,34566000000,80552000000
MSFT,2019-06-30,286556000000,175552000000,11356000000,122463000000,2063000000,69420000000,72850000000,24150000000,78520000000
GOOGL,2022-12-31,365264000000,164795000000,21879000000,91883000000,2670000000,69300000000,27202000000,195563000000,68184000000
GOOGL,2021-12-31,359268000000,188143000000,20945000000,118704000000,1170000000,64254000000,26206000000,191484000000,61774000000
GOOGL,2020-12-31,319616000000,174296000000,26465000000,110229000000,728000000,56834000000,25078000000,163401000000,58510000000
GOOGL,2019-12-31,275909000000,152578000000,18498000000,101177000000,999000000,45221000000,14768000000,152122000000,50552000000
GOOGL,2018-12-31,232792000000,135676000000,16701000000,92439000000,1107000000,34620000000,4012000000,134885000000,45049000000
AMZN,2022-12-31,462675000000,146791000000,53888000000,16138000000,34405000000,155393000000,140118000000,83193000000,108000000
AMZN,2021-12-31,420549000000,161580000000,36220000000,59829000000,32640000000,142266000000,116395000000,85915000000,5000000
AMZN,2020-12-31,321195000000,132733000000,42122000000,42274000000,23795000000,126385000000,84389000000,52551000000,5000000
AMZN,2019-12-31,225248000000,96334000000,36092000000,18929000000,20497000000,87812000000,63205000000,31220000000,5000000
AMZN,2018-12-31,162648000000,75101000000,31750000000,9500000000,17174000000,68391000000,23495000000,19625000000,5000000
META,2022-12-31,185727000000,59549000000,14681000000,26057000000,0,27026000000,25224000000,64799000000,64444000000
META,2021-12-31,165987000000,66666000000,16601000000,31397000000,0,21135000000,12746000000,69761000000,55811000000
META,2020-12-31,159316000000,75670000000,17576000000,44378000000,0,14981000000,9631000000,77345000000,50018000000
META,2019-12-31,133376000000,66225000000,19079000000,35776000000,0,15053000000,9524000000,55692000000,45851000000
META,2018-12-31,97334000000,50480000000,10019000000,31095000000,0,7017000000,0,41981000000,42906000000
