symbol,date,incomeBeforeTax,netIncome,interestIncome,interestExpense,depreciationAndAmortization,grossProfit,operatingIncome,revenue
AAPL,2023-09-30,113736000000,96995000000,3750000000,3933000000,11519000000,169148000000,114301000000,383285000000
AAPL,2022-09-24,119103000000,99803000000,2825000000,2931000000,11104000000,170782000000,119437000000,394328000000
AAPL,2021-09-25,109207000000,94680000000,2843000000,2645000000,11284000000,152836000000,108949000000,365817000000
AAPL,2020-09-26,67091000000,57411000000,3763000000,2873000000,11056000000,104956000000,66288000000,274515000000
AAPL,2019-09-28,65737000000,55256000000,4961000000,3576000000,12547000000,98392000000,63930000000,260174000000
MSFT,2023-06-30,89311000000,72361000000,2994000000,1968000000,13500000000,146052000000,88523000000,211915000000
MSFT,2022-06-30,83716000000,72738000000,2094000000,2063000000,14600000000,135620000000,83383000000,198270000000
MSFT,2021-06-30,71102000000,61271000000,2131000000,2346000000,10900000000,115856000000,69916000000,168088000000
MSFT,2020-06-30,53036000000,44281000000,2680000000,2591000000,12300000000,96937000000,52959000000,143015000000
MSFT,2019-06-30,43688000000,39240000000,2762000000,2686000000,11600000000,82933000000,42959000000,125843000000
GOOGL,2022-12-31,71328000000,59972000000,2174000000,357000000,15928000000,156633000000,74842000000,282836000000
GOOGL,2021-12-31,90734000000,76033000000,1499000000,346000000,12441000000,146698000000,78714000000,257637000000
GOOGL,2020-12-31,48082000000,40269000000,1865000000,135000000,13697000000,97795000000,41224000000,182527000000
GOOGL,2019-12-31,39625000000,34343000000,2427000000,100000000,15175000000,89961000000,34231000000,161857000000
GOOGL,2018-12-31,34913000000,30736000000,1878000000,114000000,9035000000,77270000000,26321000000,136819000000
AMZN,2022-12-31,-5939000000,-2722000000,989000000,2367000000,41921000000,225152000000,12248000000,513983000000
AMZN,2021-12-31,38155000000,33364000000,448000000,1809000000,34433000000,197478000000,24879000000,469822000000
AMZN,2020-12-31,24194000000,21331000000,555000000,1647000000,25180000000,152757000000,22899000000,386064000000
AMZN,2019-12-31,13962000000,11588000000,832000000,1600000000,21789000000,114986000000,14541000000,280522000000
AMZN,2018-12-31,11270000000,10073000000,440000000,1417000000,15341000000,93731000000,12421000000,232887000000
META,2022-12-31,28819000000,23200000000,276000000,276000000,8686000000,91360000000,28944000000,116609000000
META,2021-12-31,47284000000,39370000000,531000000,461000000,7967000000,95280000000,46753000000,117929000000
META,2020-12-31,33180000000,29146000000,509000000,672000000,6862000000,69273000000,32671000000,85965000000
META,2019-12-31,24812000000,18485000000,924000000,20000000,5741000000,57927000000,23986000000,70697000000
META,2018-12-31,25361000000,22112000000,661000000,9000000,4315000000,46483000000,24913000000,55838000000
